Right Knee,Left Knee,Right Ankle,Left Ankle,Right Heel,Left Heel,Right Foot Index,Left Foot Index,Pose ID
"(0.42908522486686707, 0.6671501398086548, 0.050518762320280075, 0.9999827146530151, 0.999996542930603)","(0.4528105556964874, 0.6576297283172607, -0.050583235919475555, 0.9999796152114868, 0.9999901056289673)","(0.4677262008190155, 0.7345566153526306, 0.17696529626846313, 0.672488272190094, 0.999981164932251)","(0.5060465931892395, 0.7160089015960693, -0.05204712972044945, 0.9028518199920654, 0.9999637603759766)","(0.4906468093395233, 0.8213925957679749, 0.2508605420589447, 0.8089109063148499, 0.9997912049293518)","(0.4899234175682068, 0.7626470327377319, 0.06382393091917038, 0.8516599535942078, 0.9998936653137207)","(0.4932674169540405, 0.8386626243591309, 0.2572236955165863, 0.8804819583892822, 0.9993745684623718)","(0.47930169105529785, 0.7631968259811401, 0.07848778367042542, 0.8598094582557678, 0.9998921155929565)",13
"(0.42744556069374084, 0.6265363693237305, 0.047367021441459656, 0.9999682903289795, 0.9999890327453613)","(0.44551578164100647, 0.6316778063774109, -0.047440387308597565, 0.9999610185623169, 0.9999817609786987)","(0.45824337005615234, 0.6913376450538635, 0.15041565895080566, 0.6333224773406982, 0.9998637437820435)","(0.4802008867263794, 0.6478369235992432, -0.011250557377934456, 0.856493353843689, 0.9998606443405151)","(0.4776095449924469, 0.7741149067878723, 0.20229637622833252, 0.7919935584068298, 0.9995337724685669)","(0.48101651668548584, 0.7321217656135559, 0.047038257122039795, 0.8191996216773987, 0.999586284160614)","(0.4799153506755829, 0.7961795330047607, 0.20698614418506622, 0.8527410626411438, 0.9985356330871582)","(0.47652873396873474, 0.7470806241035461, 0.050184935331344604, 0.8173686265945435, 0.9994227886199951)",13
"(0.40064239501953125, 0.4559475779533386, 0.04706437140703201, 0.9999812245368958, 0.9999890327453613)","(0.42074158787727356, 0.4491301476955414, -0.04716208949685097, 0.9999731779098511, 0.9999573230743408)","(0.45906704664230347, 0.5627660751342773, 0.0918845534324646, 0.8339941501617432, 0.9998743534088135)","(0.47822630405426025, 0.5065202116966248, -0.03283599019050598, 0.9462356567382812, 0.9996292591094971)","(0.47332626581192017, 0.664832592010498, 0.08928597718477249, 0.9029045701026917, 0.9997616410255432)","(0.4546116292476654, 0.5878216624259949, 0.02392221987247467, 0.9278571009635925, 0.9997467398643494)","(0.47258853912353516, 0.6894834041595459, 0.08637072145938873, 0.9447950720787048, 0.9994089603424072)","(0.444389671087265, 0.5988772511482239, 0.0308173019438982, 0.9203109741210938, 0.9997978806495667)",14
"(0.4100991487503052, 0.4666484594345093, 0.0738004595041275, 0.9999789595603943, 0.9999966621398926)","(0.42349544167518616, 0.4675639569759369, -0.07387816905975342, 0.9999708533287048, 0.9999853372573853)","(0.4584559202194214, 0.540974497795105, 0.17498618364334106, 0.7703089118003845, 0.9999810457229614)","(0.48863542079925537, 0.507082998752594, -0.03434645012021065, 0.942748486995697, 0.999947190284729)","(0.4706660807132721, 0.6658293604850769, 0.22767037153244019, 0.8677406311035156, 0.9999033212661743)","(0.4960077702999115, 0.6472639441490173, 0.03358066827058792, 0.9270351529121399, 0.9997219443321228)","(0.4693814218044281, 0.6922875642776489, 0.22978495061397552, 0.9122101068496704, 0.9996650218963623)","(0.4940747916698456, 0.6834011077880859, 0.040443237870931625, 0.9153617024421692, 0.9996699094772339)",14
"(0.4175836741924286, 0.46702009439468384, 0.06764700263738632, 0.9999783635139465, 0.9999982118606567)","(0.4304369390010834, 0.4717263877391815, -0.067728191614151, 0.9999697804450989, 0.9999934434890747)","(0.4668688476085663, 0.5570289492607117, 0.17414464056491852, 0.748400866985321, 0.9999752044677734)","(0.48535865545272827, 0.5075028538703918, 0.042060986161231995, 0.9367030262947083, 0.9999115467071533)","(0.46732595562934875, 0.6711326837539673, 0.25343066453933716, 0.8621574640274048, 0.9998179078102112)","(0.5159233212471008, 0.5833906531333923, 0.17429472506046295, 0.9213116765022278, 0.9996341466903687)","(0.46417132019996643, 0.6958297491073608, 0.25988709926605225, 0.9040855169296265, 0.9993206262588501)","(0.5152817964553833, 0.6075085401535034, 0.18854327499866486, 0.9090923070907593, 0.9997102618217468)",14
"(0.42287710309028625, 0.46440836787223816, 0.07722724974155426, 0.9999798536300659, 0.9999994039535522)","(0.43242359161376953, 0.4676286280155182, -0.07734544575214386, 0.9999718070030212, 0.9999978542327881)","(0.46036219596862793, 0.5622586011886597, 0.16444621980190277, 0.7674095630645752, 0.9999817609786987)","(0.48298561573028564, 0.4793265163898468, -0.09249460697174072, 0.9428414702415466, 0.9999780654907227)","(0.46671828627586365, 0.6698238253593445, 0.222371444106102, 0.8736220598220825, 0.9998086094856262)","(0.5308641791343689, 0.5377379059791565, -0.0858849510550499, 0.9287893772125244, 0.9998763799667358)","(0.46305719017982483, 0.6936621069908142, 0.2267766296863556, 0.9117149710655212, 0.9992144107818604)","(0.533816933631897, 0.573783278465271, -0.08428507298231125, 0.9174933433532715, 0.9998146891593933)",14
"(0.4216417968273163, 0.46373283863067627, 0.08174248784780502, 0.9999812245368958, 0.9999994039535522)","(0.43062838912010193, 0.4667738974094391, -0.08186288923025131, 0.9999739527702332, 0.9999982118606567)","(0.4683855473995209, 0.5522295236587524, 0.10220815241336823, 0.7844622731208801, 0.99998939037323)","(0.48728302121162415, 0.4643642008304596, -0.05831186845898628, 0.9479012489318848, 0.9999756813049316)","(0.46641048789024353, 0.6731674075126648, 0.1306137889623642, 0.88241046667099, 0.9998466968536377)","(0.5360490679740906, 0.539962887763977, -0.027311066165566444, 0.9341263175010681, 0.9998005032539368)","(0.4558890461921692, 0.6939656138420105, 0.13198427855968475, 0.9176483750343323, 0.9992884397506714)","(0.539309561252594, 0.55951988697052, -0.02584146335721016, 0.9235752820968628, 0.9997811913490295)",14
"(0.5265729427337646, 0.4470418095588684, 0.03561130538582802, 0.9999570846557617, 0.9999977350234985)","(0.5606357455253601, 0.44647037982940674, -0.035764552652835846, 0.999974250793457, 0.9999969005584717)","(0.5680279731750488, 0.47416961193084717, 0.187605619430542, 0.6514366269111633, 0.9999499320983887)","(0.5896177291870117, 0.4744824171066284, 0.04100280627608299, 0.8967772126197815, 0.999943733215332)","(0.5974020957946777, 0.5147891044616699, 0.27934932708740234, 0.7749990820884705, 0.9999115467071533)","(0.6093722581863403, 0.5179091691970825, 0.0660615786910057, 0.9033406376838684, 0.9998267292976379)","(0.5981927514076233, 0.5183146595954895, 0.265746146440506, 0.8605403900146484, 0.9997902512550354)","(0.6084299087524414, 0.5245791077613831, 0.06739623844623566, 0.8970940113067627, 0.9997907280921936)",15
"(0.5228075981140137, 0.45112988352775574, 0.03514353930950165, 0.9999565482139587, 0.9999969005584717)","(0.5515304803848267, 0.4486767649650574, -0.035275306552648544, 0.9999731779098511, 0.9999972581863403)","(0.5675330758094788, 0.48925670981407166, 0.20046836137771606, 0.6438483595848083, 0.9999898672103882)","(0.587706983089447, 0.4571015238761902, 0.10068664699792862, 0.88215172290802, 0.9999940395355225)","(0.6049938201904297, 0.5247110724449158, 0.3300878405570984, 0.7863337993621826, 0.9999699592590332)","(0.6121947169303894, 0.4932214319705963, 0.25442907214164734, 0.9000826478004456, 0.9999887943267822)","(0.6047794222831726, 0.5339765548706055, 0.3415440022945404, 0.8635637760162354, 0.9999191761016846)","(0.6143890619277954, 0.5009397268295288, 0.2705121338367462, 0.8920731544494629, 0.9999891519546509)",15
"(0.5104161500930786, 0.44570261240005493, 0.04074852913618088, 0.9999591112136841, 0.9999983310699463)","(0.5404756665229797, 0.44991999864578247, -0.040721237659454346, 0.9999755024909973, 0.9999995231628418)","(0.552349328994751, 0.47326841950416565, 0.2617800533771515, 0.6187660694122314, 0.9999773502349854)","(0.5765705704689026, 0.487726092338562, 0.09296108037233353, 0.8930582404136658, 0.9999967813491821)","(0.598355770111084, 0.4771582782268524, 0.45474183559417725, 0.7798668146133423, 0.9999594688415527)","(0.60828697681427, 0.5365723371505737, 0.23064516484737396, 0.9093601703643799, 0.9999717473983765)","(0.6000456809997559, 0.500713050365448, 0.4736597239971161, 0.8587867021560669, 0.9999138116836548)","(0.6125588417053223, 0.5437256097793579, 0.24530735611915588, 0.9014868140220642, 0.9999687671661377)",15
"(0.506725013256073, 0.4459989666938782, 0.04016777127981186, 0.9999597668647766, 0.9999971389770508)","(0.5373495221138, 0.4521665871143341, -0.040152713656425476, 0.999977171421051, 0.9999990463256836)","(0.5496728420257568, 0.4730939269065857, 0.23249012231826782, 0.5795532464981079, 0.9999740123748779)","(0.571760892868042, 0.48974281549453735, 0.08615592122077942, 0.899005115032196, 0.9999954700469971)","(0.5968329906463623, 0.48948559165000916, 0.4007730185985565, 0.7636198997497559, 0.999953031539917)","(0.6071798205375671, 0.5385972857475281, 0.22299906611442566, 0.9161234498023987, 0.999968409538269)","(0.6011869311332703, 0.5032914876937866, 0.4169757068157196, 0.8439780473709106, 0.9998924732208252)","(0.613402783870697, 0.546883225440979, 0.23674388229846954, 0.9068148732185364, 0.9999622106552124)",15
"(0.5003744959831238, 0.4464734196662903, 0.05273200571537018, 0.9999499320983887, 0.9999898672103882)","(0.5266895294189453, 0.4454042315483093, -0.05287589877843857, 0.9999613761901855, 0.9999828338623047)","(0.5484654307365417, 0.48599740862846375, 0.1415935903787613, 0.5607492923736572, 0.9999725818634033)","(0.5655719637870789, 0.44216710329055786, 0.12275882065296173, 0.8194656372070312, 0.9999508857727051)","(0.5959408283233643, 0.5398700833320618, 0.19165901839733124, 0.7517929673194885, 0.9993317723274231)","(0.5569262504577637, 0.4671441316604614, 0.3024807870388031, 0.8317298293113708, 0.9997709393501282)","(0.5993270874023438, 0.5522798895835876, 0.19584712386131287, 0.8379055857658386, 0.9975653886795044)","(0.5491344928741455, 0.4844392240047455, 0.3210977017879486, 0.826122522354126, 0.9997733235359192)",15
"(0.574063777923584, 0.5340778231620789, 0.036751843988895416, 0.9999808073043823, 0.9999980926513672)","(0.6023378372192383, 0.5317756533622742, -0.036874957382678986, 0.9999862909317017, 0.9999986886978149)","(0.6128959059715271, 0.5679505467414856, 0.09160585701465607, 0.7817365527153015, 0.9998782873153687)","(0.6396363377571106, 0.5648843050003052, -0.03738810122013092, 0.9025696516036987, 0.9999326467514038)","(0.6261899471282959, 0.6204104423522949, 0.11097529530525208, 0.8811900019645691, 0.9996922016143799)","(0.6480515599250793, 0.6222447752952576, -0.010611118748784065, 0.9088212251663208, 0.9996902942657471)","(0.6215246319770813, 0.6294535398483276, 0.11050024628639221, 0.9170911908149719, 0.999195396900177)","(0.6446163058280945, 0.6292223930358887, -0.008870354853570461, 0.9041378498077393, 0.9995705485343933)",16
"(0.5737408995628357, 0.5365844964981079, 0.04383564367890358, 0.9999806880950928, 0.9999986886978149)","(0.5977170467376709, 0.5331056714057922, -0.04396693781018257, 0.9999861121177673, 0.9999985694885254)","(0.6105836033821106, 0.5789284110069275, 0.12637455761432648, 0.7825635671615601, 0.9999779462814331)","(0.6395062804222107, 0.5546083450317383, 0.054353199899196625, 0.9021025896072388, 0.9999638795852661)","(0.6203872561454773, 0.6378945708274841, 0.15650519728660583, 0.8857392072677612, 0.9998612403869629)","(0.660254180431366, 0.6013695597648621, 0.1392035186290741, 0.9088164567947388, 0.9998623132705688)","(0.6172086596488953, 0.6484760642051697, 0.15721403062343597, 0.918197512626648, 0.9995620846748352)","(0.6584599018096924, 0.6106899380683899, 0.1475900113582611, 0.9047573208808899, 0.9998641014099121)",16
"(0.5721607208251953, 0.5385074615478516, 0.06021030992269516, 0.9999805092811584, 0.9999983310699463)","(0.597212553024292, 0.532692015171051, -0.060339584946632385, 0.9999855756759644, 0.9999984502792358)","(0.6094393730163574, 0.5849992632865906, 0.14232264459133148, 0.7852551341056824, 0.999983549118042)","(0.6392918825149536, 0.5517247915267944, 0.06182759255170822, 0.903672993183136, 0.9999698400497437)","(0.6170390844345093, 0.6452885866165161, 0.21702110767364502, 0.8911898136138916, 0.9998080134391785)","(0.6688926219940186, 0.5801625847816467, 0.17955762147903442, 0.9117022752761841, 0.9998641014099121)","(0.6152257919311523, 0.6562773585319519, 0.2221287041902542, 0.9197641611099243, 0.9992266893386841)","(0.6694502234458923, 0.5897852778434753, 0.19086186587810516, 0.9073190093040466, 0.9998763799667358)",16
"(0.571317195892334, 0.5385712385177612, 0.06592629104852676, 0.999980092048645, 0.9999985694885254)","(0.5915666222572327, 0.5327118635177612, -0.06607760488986969, 0.9999830722808838, 0.999996542930603)","(0.6050081253051758, 0.5834981799125671, 0.13185758888721466, 0.7801976799964905, 0.9999881982803345)","(0.6367608904838562, 0.5350952744483948, 0.04508139193058014, 0.8809277415275574, 0.9999537467956543)","(0.612703263759613, 0.6470521092414856, 0.17576131224632263, 0.8938938975334167, 0.9998574256896973)","(0.637184202671051, 0.5630900263786316, 0.13775791227817535, 0.8948137760162354, 0.9999256134033203)","(0.6129831075668335, 0.6615731120109558, 0.1749754101037979, 0.9152114987373352, 0.9992885589599609)","(0.6305110454559326, 0.573925793170929, 0.14710135757923126, 0.8755109310150146, 0.9999226331710815)",16
"(0.5695894956588745, 0.53566575050354, 0.062404293566942215, 0.9999789595603943, 0.999997615814209)","(0.5900912284851074, 0.5324881076812744, -0.06254929304122925, 0.9999806880950928, 0.999996542930603)","(0.6009493470191956, 0.5855916738510132, 0.11846952140331268, 0.7977663278579712, 0.9999817609786987)","(0.6349493265151978, 0.532558262348175, 0.04622608795762062, 0.87615567445755, 0.9999510049819946)","(0.6078488230705261, 0.6491470336914062, 0.14937657117843628, 0.9034203886985779, 0.9996658563613892)","(0.6303477883338928, 0.570014476776123, 0.173385888338089, 0.888806164264679, 0.9998568296432495)","(0.6024810075759888, 0.6632124185562134, 0.14971043169498444, 0.9213778972625732, 0.9984079003334045)","(0.6231709718704224, 0.5786572098731995, 0.1860465407371521, 0.8602976202964783, 0.999854326248169)",16
"(0.5102161765098572, 0.45058169960975647, 0.03351879492402077, 0.999982476234436, 0.9999982118606567)","(0.5385931134223938, 0.44451460242271423, -0.03358334302902222, 0.9999907612800598, 0.9999984502792358)","(0.5499135255813599, 0.48334768414497375, 0.2033577561378479, 0.6199015974998474, 0.9998922348022461)","(0.5632826685905457, 0.4918537139892578, 0.01749456487596035, 0.8538515567779541, 0.999930739402771)","(0.5740941762924194, 0.5132027864456177, 0.33780691027641296, 0.6483225226402283, 0.9999191761016846)","(0.5903884768486023, 0.53969806432724, 0.06269702315330505, 0.8185601234436035, 0.9998003840446472)","(0.577597975730896, 0.519814133644104, 0.34965020418167114, 0.768146812915802, 0.9998688697814941)","(0.5914825201034546, 0.5501232743263245, 0.06717193871736526, 0.8381600379943848, 0.9997636675834656)",17
"(0.518577516078949, 0.45777758955955505, 0.02387954108417034, 0.9999834299087524, 0.9999994039535522)","(0.5485013127326965, 0.4471018314361572, -0.024016108363866806, 0.9999911785125732, 0.9999994039535522)","(0.56120365858078, 0.4987117350101471, 0.1315080225467682, 0.6512874364852905, 0.9999697208404541)","(0.583723783493042, 0.487458199262619, 0.03557984158396721, 0.8675634264945984, 0.9999779462814331)","(0.5976842641830444, 0.5434502363204956, 0.16530922055244446, 0.6819780468940735, 0.9999054670333862)","(0.6099081635475159, 0.5325843691825867, 0.0687948688864708, 0.8358649611473083, 0.9999326467514038)","(0.600714385509491, 0.5524348020553589, 0.16634100675582886, 0.7896181344985962, 0.9997407793998718)","(0.6133652329444885, 0.5497652292251587, 0.07156556844711304, 0.8527091145515442, 0.9999052286148071)",17
"(0.518164873123169, 0.45623889565467834, 0.020805826410651207, 0.9999848008155823, 1.0)","(0.5466654896736145, 0.44492945075035095, -0.020880509167909622, 0.9999918341636658, 1.0)","(0.5598485469818115, 0.5049999952316284, 0.13196298480033875, 0.6814839243888855, 0.9999979734420776)","(0.5914244055747986, 0.48499006032943726, 0.019229406490921974, 0.8802850842475891, 0.9999988079071045)","(0.5984362363815308, 0.5535374879837036, 0.18257062137126923, 0.7112382054328918, 0.9999791383743286)","(0.6398819088935852, 0.5253691673278809, 0.03921978175640106, 0.8516361117362976, 0.9999933242797852)","(0.6024622321128845, 0.5627851486206055, 0.1846194863319397, 0.8072443008422852, 0.9999417066574097)","(0.6464763283729553, 0.5377509593963623, 0.04132048040628433, 0.8665096759796143, 0.9999886751174927)",17
"(0.5162269473075867, 0.4444373846054077, 0.01105939969420433, 0.999984622001648, 0.9999994039535522)","(0.5450157523155212, 0.4324932098388672, -0.011265933513641357, 0.9999894499778748, 0.9999988079071045)","(0.5568269491195679, 0.5032247304916382, 0.03099719248712063, 0.7117955684661865, 0.999996542930603)","(0.5663921236991882, 0.4499374032020569, 0.1465618908405304, 0.8775685429573059, 0.9999908208847046)","(0.5967892408370972, 0.5586300492286682, 0.016602717339992523, 0.7396060228347778, 0.9999603033065796)","(0.5987280011177063, 0.48439958691596985, 0.25168874859809875, 0.8589059114456177, 0.999988317489624)","(0.6009790897369385, 0.5680164098739624, 0.013032278046011925, 0.8258850574493408, 0.9998394250869751)","(0.5986950397491455, 0.4903613328933716, 0.26179757714271545, 0.8745940923690796, 0.9999890327453613)",17
"(0.521658718585968, 0.4185921251773834, 0.07388857752084732, 0.9999833106994629, 0.999994158744812)","(0.5216814875602722, 0.41749799251556396, -0.07400552928447723, 0.999987006187439, 0.9999871253967285)","(0.5349245071411133, 0.432457834482193, 0.0802234336733818, 0.7147893905639648, 0.9999635219573975)","(0.540153980255127, 0.40446728467941284, -0.1695486307144165, 0.8877691030502319, 0.9999611377716064)","(0.5606395602226257, 0.4895791709423065, 0.09397552162408829, 0.7563290596008301, 0.9996943473815918)","(0.5847300291061401, 0.444754958152771, -0.23828114569187164, 0.8716650009155273, 0.9997615218162537)","(0.5619033575057983, 0.5022908449172974, 0.09223330020904541, 0.8328348994255066, 0.9985186457633972)","(0.5897829532623291, 0.4576704502105713, -0.24701784551143646, 0.8823789358139038, 0.9993971586227417)",17
"(0.5098896622657776, 0.5748328566551208, 0.04084913432598114, 0.9999822378158569, 0.9999995231628418)","(0.5406954884529114, 0.5619882941246033, -0.0410190150141716, 0.999984622001648, 0.9999994039535522)","(0.566528856754303, 0.6162405610084534, 0.060287512838840485, 0.763945996761322, 0.9999693632125854)","(0.5990574359893799, 0.6022567749023438, -0.10437405109405518, 0.9512258172035217, 0.9999734163284302)","(0.6143839359283447, 0.6505482792854309, 0.025105955079197884, 0.8384119272232056, 0.9999243021011353)","(0.6544916033744812, 0.6569267511367798, -0.1549781858921051, 0.8975281715393066, 0.9999195337295532)","(0.6199182271957397, 0.6626436710357666, 0.019646335393190384, 0.902824342250824, 0.9998107552528381)","(0.654331386089325, 0.6722868084907532, -0.15911787748336792, 0.9054880142211914, 0.9998726844787598)",18
"(0.5194001793861389, 0.5811526775360107, 0.042484916746616364, 0.999983549118042, 0.9999996423721313)","(0.548796534538269, 0.5646967887878418, -0.04266835376620293, 0.9999856948852539, 0.9999996423721313)","(0.5760787129402161, 0.6226065754890442, 0.16508430242538452, 0.7803064584732056, 0.9999946355819702)","(0.599403977394104, 0.5983958840370178, 0.051085032522678375, 0.95245361328125, 0.9999940395355225)","(0.6301777958869934, 0.6555640697479248, 0.20644259452819824, 0.8530105948448181, 0.9999793767929077)","(0.6244718432426453, 0.6210312843322754, 0.1410740613937378, 0.9040982723236084, 0.9999866485595703)","(0.6391978859901428, 0.6727989912033081, 0.2088860273361206, 0.9108250737190247, 0.9999347925186157)","(0.6214598417282104, 0.626396894454956, 0.15147344768047333, 0.9104493260383606, 0.9999842643737793)",18
"(0.5199753046035767, 0.5801215767860413, 0.032634153962135315, 0.999984860420227, 0.9999998807907104)","(0.5485583543777466, 0.5643624067306519, -0.03288368135690689, 0.9999867677688599, 0.9999998807907104)","(0.5744231939315796, 0.6249484419822693, 0.12483792006969452, 0.7944026589393616, 0.9999918937683105)","(0.5997571349143982, 0.5990694165229797, 0.035850610584020615, 0.9533102512359619, 0.9999876022338867)","(0.6273422837257385, 0.6561858654022217, 0.11936509609222412, 0.8656114935874939, 0.9999860525131226)","(0.6358613967895508, 0.6147918105125427, 0.10855957120656967, 0.9109991788864136, 0.9999855756759644)","(0.631511926651001, 0.6659401059150696, 0.11765670031309128, 0.9178341031074524, 0.9999568462371826)","(0.6345264911651611, 0.6174415349960327, 0.08848482370376587, 0.9166540503501892, 0.9999831914901733)",18
"(0.5256178379058838, 0.5803276300430298, 0.06507577747106552, 0.9999846816062927, 0.9999992847442627)","(0.5514827966690063, 0.5642600059509277, -0.06528061628341675, 0.9999851584434509, 0.9999986886978149)","(0.5852940678596497, 0.6194382905960083, 0.17829957604408264, 0.7886592149734497, 0.9999865293502808)","(0.5935590863227844, 0.5921730399131775, 0.05836713686585426, 0.9360759258270264, 0.9999477863311768)","(0.6363925337791443, 0.6604521870613098, 0.22354592382907867, 0.868876576423645, 0.9999510049819946)","(0.6313549280166626, 0.5938178896903992, 0.21608535945415497, 0.8891362547874451, 0.9999358654022217)","(0.6398327350616455, 0.6695224046707153, 0.22618211805820465, 0.9137670993804932, 0.9998461008071899)","(0.6240430474281311, 0.6010102033615112, 0.23276005685329437, 0.8964075446128845, 0.9999521970748901)",18
"(0.5249720215797424, 0.5697483420372009, 0.03027224913239479, 0.9999842643737793, 0.999998927116394)","(0.5514598488807678, 0.5551095008850098, -0.03049738146364689, 0.9999837279319763, 0.9999985694885254)","(0.5814405083656311, 0.6176071763038635, 0.06594007462263107, 0.7953392863273621, 0.9999792575836182)","(0.579344630241394, 0.5776260495185852, 0.10041714459657669, 0.9010286331176758, 0.9999637603759766)","(0.6344202756881714, 0.6629650592803955, 0.06512401252985, 0.8747799396514893, 0.9998927116394043)","(0.5761821866035461, 0.5856825709342957, 0.2125488519668579, 0.8629910349845886, 0.9999679327011108)","(0.6393942832946777, 0.6711107492446899, 0.06242157518863678, 0.9163955450057983, 0.9996743202209473)","(0.5671361684799194, 0.5991447567939758, 0.22390376031398773, 0.8799605369567871, 0.9999738931655884)",18
"(0.5280856490135193, 0.4282199442386627, 0.031394995748996735, 0.999978244304657, 0.9999996423721313)","(0.5522059798240662, 0.42816969752311707, -0.031409502029418945, 0.9999842047691345, 0.9999998807907104)","(0.5556378364562988, 0.44584739208221436, 0.20991657674312592, 0.799115777015686, 0.9999881982803345)","(0.5828494429588318, 0.4536733627319336, 0.0859469622373581, 0.8876972794532776, 0.9999973773956299)","(0.5667367577552795, 0.47238320112228394, 0.34611043334007263, 0.8576668500900269, 0.9999721050262451)","(0.5977588891983032, 0.4894639849662781, 0.19790734350681305, 0.8841553330421448, 0.9999794960021973)","(0.567956268787384, 0.4788082540035248, 0.3594105541706085, 0.8948169946670532, 0.9999427795410156)","(0.5957132577896118, 0.49710506200790405, 0.2101443111896515, 0.8786356449127197, 0.9999797344207764)",19
"(0.5326854586601257, 0.42813488841056824, 0.04513752833008766, 0.99997878074646, 0.9999992847442627)","(0.5561796426773071, 0.4244164228439331, -0.04522951319813728, 0.9999848008155823, 0.9999992847442627)","(0.5661917328834534, 0.446615606546402, 0.04412390664219856, 0.787428081035614, 0.9999822378158569)","(0.5906738042831421, 0.4458191692829132, -0.14187830686569214, 0.8987097144126892, 0.9999960660934448)","(0.6001299023628235, 0.48833492398262024, -0.03254854679107666, 0.85905522108078, 0.9999256134033203)","(0.6195806264877319, 0.4924290180206299, -0.2630230784416199, 0.8954052925109863, 0.9999648332595825)","(0.5981571078300476, 0.5010654330253601, -0.041988153010606766, 0.9010645151138306, 0.999737560749054)","(0.6164630651473999, 0.5052736401557922, -0.27530521154403687, 0.8902205228805542, 0.9999152421951294)",19
"(0.5355300903320312, 0.4239121377468109, 0.05049492418766022, 0.9999775886535645, 0.9999974966049194)","(0.5573170185089111, 0.41855311393737793, -0.050604600459337234, 0.999982476234436, 0.9999961853027344)","(0.5766054391860962, 0.4502890110015869, 0.1429862529039383, 0.747204065322876, 0.9999524354934692)","(0.5922393798828125, 0.4332227408885956, 0.054634008556604385, 0.8922170400619507, 0.9999405145645142)","(0.6008038520812988, 0.49522873759269714, 0.20635724067687988, 0.8454790115356445, 0.9994480013847351)","(0.625245213508606, 0.4597584307193756, 0.14533579349517822, 0.8873469233512878, 0.9997758269309998)","(0.6012043356895447, 0.5056631565093994, 0.21136894822120667, 0.8905389308929443, 0.9981295466423035)","(0.6231105923652649, 0.4675322473049164, 0.15473327040672302, 0.8773428797721863, 0.9997538924217224)",19
"(0.5349123477935791, 0.4147815704345703, 0.041530732065439224, 0.999971866607666, 0.9999916553497314)","(0.5575211644172668, 0.4175255596637726, -0.04160896688699722, 0.9999772906303406, 0.9999924898147583)","(0.5730568170547485, 0.44820043444633484, 0.1565200537443161, 0.7500453591346741, 0.9999542236328125)","(0.582793116569519, 0.42650365829467773, 0.08219292014837265, 0.8762041926383972, 0.9999667406082153)","(0.5933238863945007, 0.4944033920764923, 0.23340272903442383, 0.8545342683792114, 0.9996566772460938)","(0.5886858105659485, 0.45573320984840393, 0.19440680742263794, 0.8781036138534546, 0.9998537302017212)","(0.599338710308075, 0.503296971321106, 0.23979012668132782, 0.8952145576477051, 0.9988588094711304)","(0.5870819687843323, 0.4623831510543823, 0.20540811121463776, 0.86502605676651, 0.9998196959495544)",19
"(0.5349513292312622, 0.4065239727497101, 0.044686801731586456, 0.9999646544456482, 0.9999932050704956)","(0.5579032301902771, 0.40719830989837646, -0.04479619860649109, 0.9999643564224243, 0.9999856948852539)","(0.5584352612495422, 0.44290757179260254, 0.14939938485622406, 0.7300658822059631, 0.9999600648880005)","(0.5824801921844482, 0.4095536470413208, 0.0746794119477272, 0.84883713722229, 0.9999390840530396)","(0.575413167476654, 0.4911053776741028, 0.21037133038043976, 0.8516073226928711, 0.9994589686393738)","(0.5745373368263245, 0.437008261680603, 0.16147476434707642, 0.8532961010932922, 0.9997548460960388)","(0.5751585364341736, 0.49901291728019714, 0.21473972499370575, 0.8942168354988098, 0.9983125925064087)","(0.5709069967269897, 0.4424838721752167, 0.1708231270313263, 0.8379780650138855, 0.9997255206108093)",19
"(0.5116991996765137, 0.3485204875469208, 0.0460001602768898, 0.9999774098396301, 0.9999929666519165)","(0.5294923782348633, 0.3461560606956482, -0.04608975723385811, 0.999979555606842, 0.9999840259552002)","(0.5663105249404907, 0.3726552128791809, 0.08906368911266327, 0.6367449164390564, 0.9998694658279419)","(0.5768884420394897, 0.3661426603794098, -0.04663028195500374, 0.9496869444847107, 0.9996809959411621)","(0.5873041749000549, 0.4167112410068512, 0.12189703434705734, 0.7763657569885254, 0.9993318915367126)","(0.5588012933731079, 0.4071725904941559, 0.017938803881406784, 0.9200147986412048, 0.9992260932922363)","(0.5881600379943848, 0.4243226945400238, 0.12356448918581009, 0.8070476651191711, 0.9985917210578918)","(0.5516179203987122, 0.413147509098053, 0.025679729878902435, 0.8758530020713806, 0.9992647767066956)",20
"(0.516372799873352, 0.34813594818115234, 0.05200004205107689, 0.9999728202819824, 0.9999949932098389)","(0.5352369546890259, 0.3461148142814636, -0.052045147866010666, 0.9999759197235107, 0.99998939037323)","(0.5779848098754883, 0.3599340319633484, 0.1445254236459732, 0.5978254675865173, 0.9999455213546753)","(0.5876366496086121, 0.3580031394958496, 0.005768358241766691, 0.9428120851516724, 0.9999109506607056)","(0.5960077047348022, 0.41484248638153076, 0.1831410676240921, 0.7583720088005066, 0.9998243451118469)","(0.6105639338493347, 0.40858423709869385, 0.0742061510682106, 0.9190053343772888, 0.99958735704422)","(0.5951684713363647, 0.4252479374408722, 0.18495050072669983, 0.7916681170463562, 0.999568521976471)","(0.6083158850669861, 0.41751807928085327, 0.08139687031507492, 0.8749603629112244, 0.9995915293693542)",20
